"","c..good.night.romance.eye.of.the.tiger.ufeff....jajajajajajajajajfufuufufuufufuufufuufufuufufuuuafufuuaufeff..."
"1","good night romance eye of the tiger ufeff"
"2","jajajajajajajajajfufuufufuufufuufufuufufuufufuuuafufuuaufeff"
"3","this is bbbaaadd shhiitt k dislikesufeff"
"4","ueubufududueufeff"
"5","love it ufeff"
"6","everyone in he world loves all the songs of katy perry songsufeff"
"7","i am your number fan i love you sins i was littleufeff"
"8","muito bomufeff"
"9","fun fact youtube wont allow you to type your password in the chat look check it out your selfufeff"
"10","i love it fufuufufeff"
"11","your going to hear me roar fuck youufeff"
"12","your the best singerufeff"
"13","i love itufeff"
"14","first time hearing this songufeff"
"15","i love katy perryufeff"
"16","hermosa canciónufeff"
"17","i love des songufeff"
"18","van mijn beste lietjesufeff"
"19","se dieron cuanta que habla en español no en inflich solo intrepeta la musica de inglich y habla inglich y español para que sepanufeff"
"20","and hipsters will buy the coats oa oa oa oa oatsufeff"
"21","ive got the spirit of a wolf and your gonna hear howlufeff"
"22","dear reader you re perfect and have a good dayufeff"
"23","ufeff"
"24","who else would fuck herufeff"
"25","fa katy perryufeff"
"26","excellentufeff"
"27","uufefufeff"
"28","super katy perryufeff"
"29","rapists be likeufeff"
"30","i got the eye of my stomach and your gonna here me rumble ufeff"
"31","i love its video lion monckey crocodile elephant ect i love continu its video ufeff"
"32","to je nejufeff"
"33","katy perry me encantaría que cantes canciones también en español please ufeff"
"34","ufebuububyoutubeueauufdueaucuuufeff"
"35","kadinin güzelligi yüzünden mizrak yapip muz avlamasini bile siklemiyo insan ufeff"
"36","this is my favourite song ufeff"
"37","come with me for more video hip hopufeff"
"38","ufueuucubuuauucu uuuueuaufeff"
"39","notufeff"
"40","wow your cut ufeff"
"41","check out my youtube page and subscribe pleaseufeff"
"42","she is awsomeufeff"
"43","thank u all for looking at my vidos love all of u katy perry songs thank u so much u guys ufeff"
"44","goodufeff"
"45","uuu uuau uuuua ueu uauauuuufeff"
"46","leuk nummerufeff"
"47","in song she copied songs wowufeff"
"48","i only saw her hot legs in this whole vidufeff"
"49","suckufeff"
"50","just feeling like i need a real suburban cavegirl but hey i guess all good things come to those that wait ufeff"
"51","i hate the pause in the video music its a party pooperufeff"
"52","okufeff"
"53","i love katy perry songufeff"
"54","i really like my roar when it comes to shit ufeff"
"55","love you katy ufeff"
"56","check out this playlist on youtubeufeff"
"57","bella aventuraufeff"
"58","coollllll rooooaaaaaarrrrufeff"
"59","pdufeff"
"60","even fucking stupider than taylor swiftufeff"
"61","o ufduucechampion o o oufeff"
"62","check out this video on youtube big katy perry fan ufeff"
"63","this is my favorite song everufeff"
"64","roar dufeff"
"65","ueuueuuue uduue uuuuueuueuufeff"
"66","is love song musicufeff"
"67","love katie perryufeff"
"68","uaubfubbucd ucucauafubf ßuafubdteubf se taubeubdeucdeub uccubdtubfuc stubf uaubuccubdububf fufuuaffufuufufuufufuuaufeff"
"69","this video is so cool i lovd thisufeff"
"70","totally forgot about this songufeff"
"71","katy perry roar i like it uuuufeff"
"72","uafufuuafufuufufuufufuubbucfufuucfufuucfufuudfufuufufuubfufuufufuuafufeff"
"73","belisimaaaaaaaaaaaaaaaaaaaaaaaaa troppo bela ufeff"
"74","love itufeff"
"75","i love this video i love katy perryufeff"
"76","yorgana girmiyoooooor ooo oooo oooooufeff"
"77","gracias al amigo que me dedicó esta canción eres un crack de tío ahora te dedico yo el video oficial un beso ufeff"
"78","fantastic songgggggufeff"
"79","uacbuuduf youtube ucubuueufuufeff"
"80","mi piace molto katy perryufeff"
"81","my sister reminding me always that i will open the roar song heheheufeff"
"82","belleza toda una vida naturalezaufeff"
"83","katy perry roar official httpsyoutubecevxzvsjlkufeff"
"84","i thought it was great when i play whith my dolls i make my elsa doll dress up ana sing and dance to it ufeff"
"85","very beautiful video u super uufeff"
"86","uf uuc ufuuuuducu u uueuuuu uduuuu ucudu uueubub uauduu ufuuu uu uu uuuuducufeff"
"87","i like the video i love the message of the song i may not be a huge fan but this song is great and the video is well doneufeff"
"88","this song nice and she is cuteeeeeeeeufeff"
"89","ueless this song sucksufeff"
"90","lolufeff"
"91","katy perry roar official httpsyoutubecevxzvsjlkufeff"
"92","that lion is fakeufeff"
"93","nowufeff"
"94","love this song so muchufeff"
"95","uufefuufefuufefufeff"
"96","very goodufeff"
"97","just amazing ufeff"
"98","lavnaufeff"
"99","i actually wonder were she got her makeup in the jungleufeff"
"100","i like the songsufeff"
"101","kocham cie katyufeff"
"102","you are gonna hear me roar yufeff"
"103","that tiger would swallow her in an split second nature dont give a fck about katy perry but amazing videoufeff"
"104","she couldnt just pick the banana without her heel spearufeff"
"105","iu de quingue de focaufeff"
"106","dont touch me elmoufeff"
"107","me gusta en la canción es muy bonitaufeff"
"108","echa un vistazo a este vídeo en youtubeufeff"
"109","me gustaufeff"
"110","hay kinhufeff"
"111","her titty fuck must be amazing ufeff"
"112","ufeff"
"113","i love katy perryufeff"
"114","fake viewsufeff"
"115","katy perry roar official httpsyoutubecevxzvsjlkufeff"
"116","muito bomufeff"
"117","kak ketty cantik dan manisufeff"
"118","holaufeff"
"119","dont get to close its dark inside but ripped me off bucks so ha ha loose bucks monthly paycheck in return i anilate the town for a month justice has a weird sence of humar but humans have betrayed me religion vatican heaven church mother nature everyone were at war for two years with me for no good reason roarrufeff"
"120","love katy perry ufeff"
"121","puta kati perri zorraufeff"
"122","uaucuuuuufeff"
"123","katy perry roar official httpsyoutubecevxzvsjlkufeff"
"124","q buenas tetas tiene esta zorrrrrrrrrrrraaaaaa dufeff"
"125","ay pobre sita se q do sola como una perrrrrrrrrrrrrsona q yo conozco xd vufeff"
"126","check out this video on youtubeufeff"
"127","minha musica para o cuncursocatufeff"
"128","que fea es katy perryufeff"
"129","helloufeff"
"130","thumbs up if youre watching in or ufeff"
"131","im gonna carry onufeff"
"132","me gusto ufeff"
"133","cool katyufeff"
"134","i like katy perry roarufeff"
"135","soi tu unoufeff"
"136","linda canción me encanta ufeff"
"137","luv this songufeff"
"138","i likeing your vidos ufeff"
"139","niceufeff"
"140","im pretty sure katy would loveeeee this bracelet o httpwwwamazoncomclairesaccessoriesleopardslidingbraceletdpbokokaotagleacelf ufeff"
"141","i love this song ufeff"
"142","me encantas los felinos y este tema tiene tipo felino me fasina roarufeff"
"143","bewbsufeff"
"144","im not gonna lie i love this one and fireworks and dark horseufeff"
"145","en la selvaufeff"
"146","katy perry roar official httpsyoutubecevxzvsjlkufeff"
"147","in real life that tiger would of destroyed her if she got that close lolufeff"
"148","katy perry i hate you and you are lucky people love youufeff"
"149","katy perry roar official httpsyoutubecevxzvsjlkufeff"
"150","not goo i dot like dis ufeff"
"151","good musicufeff"
"152","ucheck out my personally created playlist on youtube ub i chose all the videos that r in this playlist and i consider this my inspirational playlist that i have to listen to every morning to help me get pumped up and feeling good and strong and pretty and ready to take on my day one day at a time maybe some of the wonderful songs on this playlist do the same for all us ladies out there u ufeff"
"153","she is hot as hellufeff"
"154","they gonna see me roar watch out banks im gonna getcha mr alan hawkinsub ufeff"
"155","essa musica é lindaufeff"
"156","amei a letra da musica muito bem elaboradaufeff"
"157","check out this video on youtube ufeff"
"158","yes kids its entirely safe to run into a jungle and shout at tigersufeff"
"159","to the reader you are an amazing person and dont listen to the people who say you cant do something you are a beautiful and unique human being believe in yourself ufeff"
"160","uceuuduuuduceuuceuceuaufud amorfufuu y pazuc ufeff"
"161","i think that song is fantasticufeff"
"162","katy perry is dumb ufeff"
"163","i love it ufeff"
"164","i love that songufeff"
"165","awfullufeff"
"166","maganda katy perryi love uufeff"
"167","to that missing an elephant tusk ufeff"
"168","me gusta la cancionufeff"
"169","nokia lumia ufeff"
"170","man are just laimfufuuafufuuaufeff"
"171","i love that kitty purry ufeff"
"172","so creativeufeff"
"173","es mejor la kati perri roar ufeff"
"174","katy perry roar official httpyoutubecevxzvsjlkufeff"
"175","i ilke katy perryufeff"
